ID (KHÔNG DỊCH),ENGLISH,VIETNAMESE
LoadingPlayersData,Loading Player's Data...,Đang tải dữ liệu người chơi...
ClearData,Clear Data,Xóa dữ liệu
NormalLogin,Normal Login,Đăng nhập 
DailyMission,Daily Mission,Nhiệm vụ mỗi ngày
Achievement,Achievement,Thành tích cá nhân
Setting,Setting,Cài đặt
Home,Home,Trang chủ
AttackNeighbor,Attack Neighbor,Tấn công hàng xóm
GalaxyWar,Galaxy War,Thiên hà đại chiến
BlackHole,Black Hole,Hố đen 
MeteorBelt,Meteor Belt,Vành Đai Thiên Thạch
Stop,Stop,Dừng
Battle,Battle,Tấn Công
DailyMission,Daily Mission,Nhiệm vụ mỗi ngày
Rank,Rank,Xếp hạng
ExploreUniverse,Explore ,Thám hiểm
ManagerPlanet,Manager Planet,Quản lý hành tinh
Neighbor,Neighbor,Thiên hà lân cận
Friend,Friend,Bạn bè
Rank,Rank,Xếp hạng
Attack,Attack,Tấn công
AddFriend,Add Friend,Kết bạn
LoginDaily,Login Daily,Đăng nhập hằng ngày
NewBattle,New Battle!!!,Chiến trận mới 
SunPlanet,SunPlanet,Lõi mặt trời
Loading,Loading...,Đang tải dữ liệu...
Yoursolarsystemhavebeenattackedby,Your solar system have been attacked by:,Hệ mặt trời của bạn đã bị tấn công bởi:
Totalmateriallose,Total material lose:,Tổng vật chất thiệt hại:
BattleResult,Battle Result,Kết quả
DailyLogin,Daily Login,Đăng nhập hằng ngày
GET,GET,NHẬN ĐƯỢC: 
Attacktimes,Attack 5 times,Tấn công 5 lần
UpgradePlanettimes,Upgrade Planet 10 times,Nâng cấp hành tinh 10 lần
Tranformplanet,Tranform 1 planet,Biến đổi 1 hành tinh
Destroyplanet,Destroy 1  planet,Hủy diệt 1 hành tinh
FinishAllMission,Finish All Mission,Hoàn thành tất cả nhiệm vụ
Youfound,You found,Bạn nhận được
Claim,Claim,Nhận được
No,No,Không
Great,Great,Tuyệt Vời
WELCOME,WELCOME,CHÀO MỪNG
Whatisyourstarname,What is your star's name?,Đặt tên cho ngôi sao của bạn !
Sound,Sound,Âm thanh
Music,Music,Nhạc nền
Login,Login,Đăng nhập
DIAMOND,DIAMOND,KIM CƯƠNG
MATERIAL,MATERIAL,VẬT CHẤT
xMaterialinh,x2 Material in 24h,X2 VẬT CHẤT TRONG 24H
JUPITER,JUPITER,SAO MỘC
Detail,Detail,Thông tin 
Upgrade,Upgrade,Nâng cấp
Effect,Effect,Hiệu ứng
BIGGER,BIGGER,TĂNG KÍCH CỠ
FASTER,FASTER,TĂNG VẬN TỐC
HEAVIER,HEAVIER,TĂNG TRỌNG LƯỢNG
EVOLUTE,EVOLUTE!,TIẾN HÓA!
Gravity,Gravity,Trọng lực
Size,Size,Kích thước
HP,HP,HP
Speed,Speed,Tốc độ quay
Material,Material,Vật chất
EARTH,INFORMATION,THÔNG TIN
ChangeAvatar,Change Avatar,Đổi ảnh đại diện
Collect,Collect,Thu thập
Infomation,Infomation.,Thông tin
GRAVITY,GRAVITY,TRỌNG LỰC
AddEffect,Add Effect,Thêm hiệu ứng
Sun,Star,Ngôi sao chủ
UpgrademaxlevelofcurrentPlanet,Upgrade the max level of the current Planet!,Nâng cấp Hành Tinh đến cấp độ tối đa!
Attackplanets,Attack 5 planets,Tấn công 5 hành tinh
Upgrade,Upgrade!,Nâng cấp!
Collect,Collect,Thu thập
Language,Language,Ngôn ngữ
Max,Max,Tối đa
Free,Free,Miễn phí
airtransform,Transform into Air Planet to increase x2 Speed and Dame,Biến đổi thành hành tinh hệ Khí tăng 100% tốc độ bay và 100% thiệt hại va chạm
antimattertransform,Transform into Antimatter Planet absorb and destroy all planet in area effect,Biến đổi thành hành tinh Phản Vật Chất hút và hủy diệt tất cả các hành tinh trong vùng nổ
firetransform,Transform into Fire Planet burn all planet in area effect,Biến đổi thành hành tinh hệ Lửa đốt cháy tất cả các hành tinh trong phạm vi nổ
icetransform,Transform into Ice Planet freezen all phanet in area effect,Biến đổi thành hành tinh hệ Băng đống băng tất cả hành tinh trong vùng nổ
gravitytransform,Transform into Gravity Planet increase double matter on 24h,Biến đổi thành hành tinh Trọng lực tăng lượng vật chất thu nhập tự động lên gấp đôi trong 24h
defaulttransform,There is no effect here,Không có hiệu ứng
Upgrade max levels of your Planet!,Upgrade max levels of your Planet!,Nâng cấp Hành tinh lên tối đa cấp độ!
Upgrade max Size,Upgrade max Size,Nâng cấp tối đa kích thước
Upgrade max Speed,Upgrade max Speed,Nâng cấp tối đa vận tốc
Upgrade max Weight,Upgrade max Weight,Nâng cấp tối đa Trọng lượng
Destroy 10 Planets and 5 Suns,Destroy 10 Planets and 5 Suns,Phá hủy 10 hành tinh và 5 mặt trời
Destroy 10 Planets,Destroy 10 Planets,Phá hủy 10 hành tinh
Destroy 5 Suns,Destroy 5 Suns,Phá hủy 5 mặt trời
Destroy 100 Meteors,Destroy 100 Meteors,Phá hủy 100 thiên thạch
Destroy 25 Special Meteors,Destroy 25 Special Meteors,Phá hủy 25 Thiên thạch Đặc biệt
Destroy 25 Specical Meteors,Destroy 25 Specical Meteors,Phá hủy 25 Thiên thạch Đặc biệt
Destroy 100 Suns,Destroy 100 Suns,Phá hủy 100 Mặt trời
Destroy 100 Suns,Destroy 100 Suns,Phá hủy 100 Mặt trời
Collect 10 Antimatters,Collect 10 Antimatters,Thu thập 10 Phản vật chất
Collect 10 Antimatters,Collect 10 Antimatters,Thu thập 10 Phản vật chất
Destroy 5000 Meteors,Destroy 5000 Meteors,Phá hủy 5000 Thiên thạch
Destroy 5000 Meteors,Destroy 5000 Meteors,Phá hủy 5000 Thiên thạch
Hit multi-color Meteors 50 times,Hit multi-color Meteors 50 times,Bắn thiên thạch nhiều màu 50 lần 
Hit multi-color Meteors 50 times,Hit multi-color Meteors 50 times,Bắn thiên thạch nhiều màu 50 lần 
Destroy 1000 Planets and 100 Suns,Destroy 1000 Planets and 100 Suns,Phá hủy 1000 hành tinh và 100 mặt trời
Destroy 1000 Planets,Destroy 1000 Planets,Phá hủy 1000 hành tinh 
Destroy 50 Suns,Destroy 50 Suns,Phá hủy 50 mặt trời
You reached Max Level,You reached Max Level,Đã nâng cấp đến cấp độ tối đa
You need to UPGRADE level of the Sun before,You need to UPGRADE the level of the Sun before!,Bạn phải nâng cấp level Mặt trời trước! 
You are not enough of Fire Material!,You are not enough of Fire Material!,Bạn không đủ Vật chất Lửa
You are not enough of Ice Material!,You are not enough of Ice Material!,Bạn không đủ Vật chất băng
You are not enough of Gravity Material!,You are not enough of Gravity Material!,Bạn không đủ vật chất Trọng lực 
You are not enough of Air Material!,You are not enough of Air Material!,Bạn không đủ Vật chất Gió
You are not enough of Antimatter Material!,You are not enough of Antimatter Material!,Bạn không đủ Phản vật chất
Register successfully!,Register successfully!,Đăng kí thành công
Register,Register,Đăng kí
Register Fail!,Register Fail!,Đăng kí thất bại
Try Again,Try Again,Thử lại
Error,Error,Lỗi 
"Data corrupted, create a new one",Data corrupted. Create a new one,Dữ liệu của bạn bị mất. Vui lòng tạo mới
Error when loading data,Error when loading data,Lỗi tải dữ liệu
End in,End in,Kết thúc trong
MISSING INTERNET,MISSING INTERNET,MẤT KẾT NỐI INTERNET
"To have Rewarded Video, Please make sure you have Internet Connection :(",To have Rewarded Video. Please make sure you have Internet Connection :(,Để nhận thưởng. Vui lòng kiểm tra kết nối Internet
NO VIDEOS,NO VIDEOS,KHÔNG CÓ VIDEO
"There are no videos right now, please try later :(",There are no videos right now. Please try later :(,Hiện tại không có videos. Vui lòng thử lại sau
Friend,Friend,Bạn bè
is already in your friend list,is already in your friend list,đã có tên trong danh sách bạn bè
is added to your friend list,This player has been added to your friend list,đã được thêm vào danh sách bạn bè
Something wrong happened,Something wrong happened,No
No Planet,No Planet,Không có hành tinh
"All your planets are destroyed, please wait until they recover!",All your planets are destroyed. Please wait until they recover!,Tất cả hành tinh của bạn đã bị phá hủy. Vui lòng đợi phục hồi
Loading battle's information...,Loading battle's information...,Đang tải dữ liệu trận chiến 
Loading friend list...,Loading friend list...,Đang tải danh sách bạn bè
Loading player's data...,Loading player's data...,Đang tải dữ liệu người chơi...
Use a single planet to break the solar system once,Use a single planet to break the solar system once,Sử dụng duy nhất 1 hành tinh để bắn phá hệ mặt trời (1 lần)
Using a single planet to burst the solar system # times,Using a single planet to burst the solar system # times,Sử dụng duy nhất 1 hành tinh để bắn phá hệ mặt trời (# lần)
Promote the sun # times,Promote the sun # times,Thăng tiến cấp độ mặt trời # lần
Attack other players # times,Attack other players # times,Tấn công người chơi khác # lần
Upgrade the planet # times,Upgrade the planet # times,Nâng cấp hành tinh # lần
Attacked but not destroyed # time,Attacked but not destroyed # time,Tấn công nhưng ko hủy diệt thành công # lần
Watch Video  Reward  # times,Watch Video  Reward  # times,Xem video thưởng # lần
Destroy Planet # time,Destroy Planet # time,Hủy diệt hành tinh # lần
Transform Planet # Time,Transform Planet # Time,Biến đổi hành tinh # lần
Income of natural elements # time,Income of natural elements # time,Nhận nguyên tố # lần
Claim Daily Quest # Times,Claim Daily Quest # Times,Nhận Nhiệm vụ hằng ngày # lần
This planet already has a effect!,This planet already has a effect!,Hành tinh này đã có hiệu ứng
You can't add the Default effect!,You can't add the Default effect!,Bạn không thể thêm hiệu ứng mặc định
Coming soon...,Coming soon...,Tính năng sẽ có trong thời gian tới...
TUTORIAL,TUTORIAL,HƯỚNG DẪN CHƠI
tut1,Click on the planet. Then Drag towards the target,Nhấp vào hành tinh. Sau đó kéo và nhắm mục tiêu chỉ định
tut2,Click button Attack to shoot target,Nhấp vào nút Tấn công để bắn
Restore Planet,Restore Planet,Hồi phục hành tinh
Watch Ad to claim,Watch Ad to claim,Mời xem quảng cáo để nhận thưởng
Special Reward,Special Reward,Phần thưởng đặc biệt
Watch,Watch,Xem
Reward,Reward,Thưởng 
You have received,You have received,Bạn nhận được
Claim,Claim,Nhận
Yes,Yes,Vâng
Download Data Failed,Download Data Failed,Tải dữ liệu lỗi!
Shop,Shop,Cửa Hàng
Manager,Manager,Quản Lý 
Event,Event,Sự Kiện
AutoRecoverPlanetIn1h,Auto Recover Planet In 2h,Hành tinh tự động phục hồi ngay lập tức trong 2h
You must complete upgrade star quest to continue,You must complete upgrade star quest to continue,Bạn cần hoàn thành nhiệm vụ nâng cấp ngôi sao
tut_start_create_sun,A NEW STAR BORN,MỘT NGÔI SAO MỚI VỪA SINH RA
tut_start_create_planet,A Planet Was Born,Oh 1 hành tinh mới
Level,Level,Cấp độ
Meteor_Chart,Destroy Meteor rank,Bảng xếp hạng phá huỷ thiên thạch
Planet_Chart,Destroy Planet rank,Bảng xếp hạng phá huỷ hành tinh
Star_Chart,Destroy Star rank,Bảng xếp hạng phá huỷ ngôi sao
Congratulations,Congratulations,Chúc Mừng
tut_meteor_popup_content,You found,Bạn nhận được
tut_focus_auto_upgrade,Tap here to upgrade a planet,Chạm vào đây để nâng cấp hành tinh
tut_focus_fire_effect_button,Tap here to add fire effect,Chạm vào đây để thêm hiệu ứng lửa
tut_back_to_gameplay,Star level up. You have two planets,Tăng cấp độ ngôi sao bạn sẽ có 2 hành tinh
tut_focus_restore,Use diamond to skip time planet restore,Sử dụng kim cương để bỏ qua thời gian hồi hành tinh
tut_focus_upgrade_sun,Complete Star Quest To Upgrade Star,Hoàn thành nhiệm ngôi sao để nâng cấp mặt trời
tut_focus_neighbor,Tap here to attack another user,Chạm vào đây để tấn công người chơi khác
level_up_diamond_popup_content,Level up star prize,Phần thưởng lên cấp độ ngôi sao
PACKAGESHOP,PACKAGE SHOP,Cửa Hàng Đóng Gói
DIAMONDSHOP,DIAMOND SHOP,Cửa Hàng Kim Cương
GravityStone,5 Gravity Effect Stone,5 Đá Hiệu Ứng Trọng Lực
